Unfairness weight,Local cost weight,Global cost weight
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001
0.1,0.3,0.6000000000000001

